URI,name,alternative-fr,alternative-nl,alternative-de,alternative-en,taf-tap-code,telegraph-code,country-code,longitude,latitude,avg_stop_times,official_transfer_time
http://irail.be/stations/NMBS/008815040,Brussel-West/Bruxelles-Ouest,Bruxelles-Ouest,Brussel-West,,Brussels-West,BE00223,FBOW,be,4.321042,50.848552,37.268571,300
http://irail.be/stations/NMBS/008814001,Brussel-Zuid/Bruxelles-Midi,Bruxelles-Midi,Brussel-Zuid,,Brussels-South/Brussels-Midi,BE00220,FBMZ,be,4.336531,50.835707,1015.371429,300
http://irail.be/stations/NMBS/008819406,Brussels Airport - Zaventem,,,,,BE00219,FBNL,be,4.482076,50.896456,315.771429,3540
http://irail.be/stations/NMBS/008811148,Buda,,,,,BE00229,BUDA,be,4.417074,50.907495,197.685714,300
http://irail.be/stations/NMBS/008822145,Buggenhout,,,,,BE00231,FGN,be,4.201666,51.016291,64.782857,300
http://irail.be/stations/NMBS/008814340,Buizingen,,,,,BE00232,FGU,be,4.258558,50.751577,224.417143,300
http://irail.be/stations/NMBS/008895455,Burst,,,,,BE00235,FRU,be,3.922416,50.907198,116.908571,300
http://irail.be/stations/NMBS/008884889,Callenelle,,,,,BE00246,FCA,be,3.52618,50.527359,64.468571,300
http://irail.be/stations/NMBS/008886074,Cambron-Casteau,,,,,BE00247,FUC,be,3.874809,50.586759,37.205714,300
http://irail.be/stations/NMBS/008775762,Cannes,,,,,,,fr,7.019895,43.553742,0,
http://irail.be/stations/NMBS/008200518,Capellen,,,,,,,lu,5.99083300,49.6450000,47.005714,300
http://irail.be/stations/NMBS/008865565,Carlsbourg,,,,,BE00249,MCL,be,5.092784,49.905458,27.64,300
http://irail.be/stations/NMBS/008882248,Carnieres,,,,,BE00250,LNS,be,4.263826,50.447957,88.097143,300
http://irail.be/stations/NMBS/008811817,Ceroux-Mousty,,,,,BE00252,MCM,be,4.569046,50.659941,32.674286,300
http://irail.be/stations/NMBS/008774100,Chambéry-Challes-les-Eaux,,,,,,,fr,5.919756,45.571498,0,
http://irail.be/stations/NMBS/008861317,Chapelle-Dieu,,,,,BE00255,CAD,be,4.697627,50.557374,8.88,300
http://irail.be/stations/NMBS/008864824,Chapois,,,,,BE00257,CHAP,be,5.124255,50.262366,60.222857,300
http://irail.be/stations/NMBS/008872009,Charleroi-Central,,Charleroi-Centraal,,,BE00259,FCR,be,4.438567,50.40471,302.348571,300
http://irail.be/stations/NMBS/008872066,Charleroi-Ouest,,Charleroi-West,,,BE00258,FCRO,be,4.436653,50.410948,32.834286,300
http://irail.be/stations/NMBS/008861523,Chastre,,,,,BE00261,MC,be,4.648888,50.608819,130.417143,300
http://irail.be/stations/NMBS/008863438,Château-de-Seilles,,,,,BE00262,CHAS,be,5.081745,50.497209,88.885714,300
http://irail.be/stations/NMBS/008874005,Châtelet,,,,,BE00263,FCL,be,4.521861,50.410103,107.462857,300
