URI,parent_stop,longitude,latitude,name,alternative-nl,alternative-fr,alternative-de,alternative-en,platform
http://irail.be/stations/NMBS/008833001#2,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform 2,Leuven perron 2,Louvain voie 2,Löwen gleiss 2,Leuven platform 2,2
http://irail.be/stations/NMBS/008833001#3,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822800,Leuven platform 3,Leuven perron 3,Louvain voie 3,Löwen gleiss 3,Louvain / Leuven platform 3,3
http://irail.be/stations/NMBS/008833001#4,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform 4,Leuven perron 4,Louvain voie 4,Löwen gleiss 4,Leuven platform 4,4
http://irail.be/stations/NMBS/008833001#5,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform 5,Leuven perron 5,Louvain voie 5,Löwen gleiss 5,Leuven platform 5,5
http://irail.be/stations/NMBS/008833001#6,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform 6,Leuven perron 6,Louvain voie 6,Löwen gleiss 6,Leuven platform 6,6
http://irail.be/stations/NMBS/008833001#7,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform 7,Leuven perron 7,Louvain voie 7,Löwen gleiss 7,Leuven platform 7,7
http://irail.be/stations/NMBS/008833001#8,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform 8,Leuven perron 8,Louvain voie 8,Löwen gleiss 8,Leuven platform 8,8
http://irail.be/stations/NMBS/008833001#9,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform 9,Leuven perron 9,Louvain voie 9,Löwen gleiss 9,Leuven platform 9,9
http://irail.be/stations/NMBS/008833001#A,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform A,Leuven perron A,Louvain voie A,Löwen gleiss A,Leuven platform A,A
http://irail.be/stations/NMBS/008833001#B,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform B,Leuven perron B,Louvain voie B,Löwen gleiss B,Leuven platform B,B
http://irail.be/stations/NMBS/008833001#C,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform C,Leuven perron C,Louvain voie C,Löwen gleiss C,Leuven platform C,C
http://irail.be/stations/NMBS/008833001#D,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform D,Leuven perron D,Louvain voie D,Löwen gleiss D,Leuven platform D,D
http://irail.be/stations/NMBS/008811676#1,http://irail.be/stations/NMBS/008811676,4.61574600,50.6697950,Louvain-la-Neuve platform 1,Louvain-la-Neuve perron 1,Louvain-la-Neuve voie 1,Louvain-la-Neuve gleiss 1,Louvain-la-Neuve platform 1,1
http://irail.be/stations/NMBS/008811676#2,http://irail.be/stations/NMBS/008811676,4.61574600,50.6697950,Louvain-la-Neuve platform 2,Louvain-la-Neuve perron 2,Louvain-la-Neuve voie 2,Louvain-la-Neuve gleiss 2,Louvain-la-Neuve platform 2,2
http://irail.be/stations/NMBS/008811676#3,http://irail.be/stations/NMBS/008811676,4.61574600,50.6697950,Louvain-la-Neuve platform 3,Louvain-la-Neuve perron 3,Louvain-la-Neuve voie 3,Louvain-la-Neuve gleiss 3,Louvain-la-Neuve platform 3,3
http://irail.be/stations/NMBS/008863156#1,http://irail.be/stations/NMBS/008863156,4.87746800,50.3697460,Lustin platform 1,Lustin perron 1,Lustin voie 1,Lustin gleiss 1,Lustin platform 1,1
http://irail.be/stations/NMBS/008863156#2,http://irail.be/stations/NMBS/008863156,4.87746800,50.3697460,Lustin platform 2,Lustin perron 2,Lustin voie 2,Lustin gleiss 2,Lustin platform 2,2
http://irail.be/stations/NMBS/008871308#1,http://irail.be/stations/NMBS/008871308,4.38412000,50.5058600,Luttre platform 1,Luttre perron 1,Luttre voie 1,Luttre gleiss 1,Luttre platform 1,1
http://irail.be/stations/NMBS/008871308#2,http://irail.be/stations/NMBS/008871308,4.38412000,50.5058600,Luttre platform 2,Luttre perron 2,Luttre voie 2,Luttre gleiss 2,Luttre platform 2,2
