URI,name,street,zip,city,ticket_vending_machine,luggage_lockers,free_parking,taxi,bicycle_spots,blue-bike,bus,tram,metro,wheelchair_available,ramp,disabled_parking_spots,elevated_platform,escalator_up,escalator_down,elevator_platform,audio_induction_loop,sales_open_monday,sales_close_monday,sales_open_tuesday,sales_close_tuesday,sales_open_wednesday,sales_close_wednesday,sales_open_thursday,sales_close_thursday,sales_open_friday,sales_close_friday,sales_open_saturday,sales_close_saturday,sales_open_sunday,sales_close_sunday
http://irail.be/stations/NMBS/008871183,Beignée,Rue Du Point d'Arrêt,6120,Ham-Sur-Heure-Nalinnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008891157,Bellem,Lotenhullestraat Zn,9881,Bellem,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008894433,Belsele,Kerkstraat,9111,Belsele,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008832235,Beringen,Koerselsesteenweg / Motstraat,3580,Beringen,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821816,Berlaar,Misstraat Zn.,2590,Berlaar,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008200510,Bertrange Strassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008865300,Bertrix,Rue De La Gare 173,6880,Bertrix,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,06:15,13:30,06:15,13:30,06:15,13:30,06:15,13:30,06:15,13:30,,,,
http://irail.be/stations/NMBS/008873320,Berzée,Rue Bois Mignon,5651,Berzee,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008861424,Beuzet,Rue De La Station,5030,Beuzet,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008894748,Beveren,Stationsplein 2,9120,Beveren-Waas,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,1,06:00,13:15,06:00,13:15,06:00,13:15,06:00,13:15,06:00,13:15,,,,
http://irail.be/stations/NMBS/008832227,Beverlo,Korspelsesteenweg,3580,Beringen,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008811718,Bierges-Walibi,Rue De La Wastinne,1301,Bierges,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008841319,Bierset-Awans,Avenue De La Gare 15,4460,Bierset,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008831138,Bilzen,Stationlaan,3740,Bilzen,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008882362,Binche,Place Derbaix,7130,Binche,1,0,1,0,1,0,1,0,0,0,0,4,0,0,0,0,0,05:45,13:00,05:45,13:00,05:45,13:00,05:45,13:00,05:45,13:00,,,,
http://irail.be/stations/NMBS/008896388,Bissegem,Vlaswaagplein,8501,Bissegem,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008889045,Blandain-Frontiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008891405,Blankenberge,Leopold III-Plein,8370,Blankenberge,1,1,1,1,1,0,1,1,0,1,1,2,1,0,0,0,1,06:15,20:00,06:15,20:00,06:15,20:00,06:15,20:00,06:15,20:00,07:15,21:00,07:15,21:00
http://irail.be/stations/NMBS/008861531,Blanmont,Rue De La Gare,1450,Chastre,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008884715,Blaton,Quartier De La Gare,7321,Blaton,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008841434,Bleret,Rue Amédée De Lantremange 51,4300,Waremme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008812021,Bockstael,E. Bockstaellaan,1020,Brussel,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821634,Boechout,F. Segersstraat,2530,Boechout,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008831781,Bokrijk,Bokrijklaan,3600,Genk,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008864469,Bomal,Rue Fleurie 36,6941,Bomal,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821857,Booischot,Kleine Steenweg Zn.,2221,Booischot,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008822814,Boom,Statiestraat,2850,Boom,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008814456,Boondaal/Boondael,Woudlaan,1050,Brussel,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008822475,Boortmeerbeek,Brouwersstraat 12,3190,Boortmeerbeek,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008811163,Bordet,Jules Bordetlaan,1140,Brussel,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008822772,Bornem,Stationsplein 1,2880,Bornem,1,0,1,0,1,0,1,0,0,0,0,5,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008811437,Bosvoorde/Boitsfort,Terhulpsesteenweg 195,1170,Bosvoorde,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008774179,Bourg-Saint-Maurice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008884319,Boussu,Rue Rogier 9,7300,Boussu,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821725,Bouwel,Stationslei,2288,Grobbendonk,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008881463,Bracquegnies,Rue V. Ergot,7110,Strepy-Bracquegnies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
