URI,name,nmbs_short_name,average_weekday_embarkments,average_saturday_embarkments,average_sunday_embarkments
http://irail.be/stations/NMBS/008814126,UkkelStalle/UccleStalle,UccleStalle,UkkelStalle,,
http://irail.be/stations/NMBS/008400621,Utrecht Centraal,,,,
http://irail.be/stations/NMBS/008776302,Valence TGV,,,,
http://irail.be/stations/NMBS/008811270,Veltem,,,,
http://irail.be/stations/NMBS/008833050,Vertrijk,,,,
http://irail.be/stations/NMBS/008844008,VerviersCentral,,VerviersCentraal,,
http://irail.be/stations/NMBS/008844057,VerviersPalais,,VerviersPaleis,,
http://irail.be/stations/NMBS/008892304,Veurne,Furnes,,,
http://irail.be/stations/NMBS/008895612,VianeMoerbeke,,,,
http://irail.be/stations/NMBS/008896230,Vichte,,,,
http://irail.be/stations/NMBS/008845146,Vielsalm,,,,
http://irail.be/stations/NMBS/008895489,Vijfhuizen,,,,
http://irail.be/stations/NMBS/008884632,VillePommerœul,,,,
http://irail.be/stations/NMBS/008872579,VillerslaVille,,,,
http://irail.be/stations/NMBS/008811189,Vilvoorde,Vilvorde,,,
http://irail.be/stations/NMBS/008866407,Virton,,,,
http://irail.be/stations/NMBS/008849064,ViseFrontiere,,,,
http://irail.be/stations/NMBS/008846201,Visé,,Wezet,,
http://irail.be/stations/NMBS/008866118,Viville,,,,
http://irail.be/stations/NMBS/008841327,Voroux,,,,
http://irail.be/stations/NMBS/008814118,VorstOost/ForestEst,ForestEst,VorstOost,,
http://irail.be/stations/NMBS/008814373,VorstZuid/ForestMidi,ForestMidi,VorstZuid,,
http://irail.be/stations/NMBS/008893815,Waarschoot,,,,
http://irail.be/stations/NMBS/008873007,Walcourt,,,,
http://irail.be/stations/NMBS/008896149,Waregem,,,,
http://irail.be/stations/NMBS/008841400,Waremme,,Borgworm,,
http://irail.be/stations/NMBS/008814266,Waterloo,,,,
http://irail.be/stations/NMBS/008811429,Watermaal/Watermael,Watermael,Watermaal,,
http://irail.be/stations/NMBS/008811726,Wavre,,Waver,,
http://irail.be/stations/NMBS/008822251,Weerde,,,,
